id,eval_unit_id,project_id,organism,service_center,street_num,street_name,muni,postal_code,num_dwellings,num_floors,area_footprint,area_total,ivp,disrepair_state,interest_adjust_date,contract_end_date,category,building_id
1750,96020495117551300000000,1309,Oh de Manicouagan,CS Baie-Comeau,1487,boulevard Blanche,Baie-Comeau,G5C 3A8,6,3,195.71,782.84,35.60,E,1976-10-01,2026-10-01,MULTIFAMILIAL,52253
1761,96020495117551300000000,1309,Oh de Manicouagan,CS Baie-Comeau,1483,boulevard Blanche,Baie-Comeau,G5C 3A8,6,3,195.71,782.84,35.00,E,1976-10-01,2026-10-01,MULTIFAMILIAL,52275
1735,96020495117551300000000,1309,Oh de Manicouagan,CS Baie-Comeau,1485,boulevard Blanche,Baie-Comeau,G5C 3A8,6,3,164.79,659.16,39.30,E,1976-10-01,2026-10-01,MULTIFAMILIAL,52264
1680,96020475095956500000000,1158,Oh de Manicouagan,CS Baie-Comeau,916,rue Pouliot,Baie-Comeau,G5C 2T4,2,2,109.78,333.70,17.60,D,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51365
1746,96020495117551300000000,1309,Oh de Manicouagan,CS Baie-Comeau,1539,boulevard Blanche,Baie-Comeau,G5C 3A8,20,2,723.29,2169.87,15.20,D,1976-10-01,2026-10-01,MULTIFAMILIAL,52286
1772,96020495117551300000000,1309,Oh de Manicouagan,CS Baie-Comeau,1503,boulevard Blanche,Baie-Comeau,G5C 3A8,20,2,723.29,2169.87,16.10,D,1976-10-01,2026-10-01,MULTIFAMILIAL,52290
1713,96020485005661900000000,1309,Oh de Manicouagan,CS Baie-Comeau,819,boulevard René-Bélang,Baie-Comeau,G5C 2N8,6,3,195.71,782.84,11.60,C,1976-10-01,2026-10-01,MULTIFAMILIAL,51483
1665,96020475095956500000000,1158,Oh de Manicouagan,CS Baie-Comeau,870,rue Pouliot,Baie-Comeau,G5C 2T4,5,2,274.45,834.25,5.20,B,1973-01-01,2023-01-01,UNIFAMILIAL EN RANGEE,51424
501,96020575395380600000000,2000,Oh de Manicouagan,CS Baie-Comeau,10,avenue Carleton,Baie-Comeau,G4Z 2W8,50,6,653.11,3826.26,4.50,A,1981-01-01,2031-01-01,MULTIFAMILIAL,51940
512,96020575395380600000000,1514,Oh de Manicouagan,CS Baie-Comeau,20,avenue Carleton,Baie-Comeau,G4Z 2W9,50,7,655.63,3640.24,0.80,A,1979-10-01,2029-10-01,MULTIFAMILIAL,51936
523,95045090110418000000000,2135,Omh de Forestville,CS Baie-Comeau,2,10e Rue,Forestville,G0T 1E0,20,2,655.96,1311.92,4.80,A,1982-04-01,2017-03-01,MULTIFAMILIAL,51914
11465,50030871938574400000000,1270,Oh Nicolet-Yamaska,CS Bécancour,450,rue Ellyson,Saint-Célestin,J0C 1G0,36,2,1237.98,2475.95,1.90,A,1975-03-01,2025-03-01,MULTIFAMILIAL,23542
28000,50072732107910500000000,1543,Oh Nicolet-Yamaska,CS Bécancour,650,rue Du Bocage,Nicolet,J3T 1V2,26,2,909.12,1818.25,2.50,A,1976-04-01,2026-04-01,MULTIFAMILIAL,23822
