id,eval_unit_id,project_id,organism,service_center,street_num,street_name,muni,postal_code,num_dwellings,num_floors,area_footprint,area_total,ivp,disrepair_state,interest_adjust_date,contract_end_date,category,building_id
1750,96020495117551300000000,1309,Oh de Manicouagan,CS Baie-Comeau,1487,boulevard Blanche,Baie-Comeau,G5C 3A8,6,3,195.71,782.84,35.60,E,1976-10-01,2026-10-01,MULTIFAMILIAL,52253
1761,96020495117551300000000,1309,Oh de Manicouagan,CS Baie-Comeau,1483,boulevard Blanche,Baie-Comeau,G5C 3A8,6,3,195.71,782.84,35.00,E,1976-10-01,2026-10-01,MULTIFAMILIAL,52275
1735,96020495117551300000000,1309,Oh de Manicouagan,CS Baie-Comeau,1485,boulevard Blanche,Baie-Comeau,G5C 3A8,6,3,164.79,659.16,39.30,E,1976-10-01,2026-10-01,MULTIFAMILIAL,52264
86133,96035394380181600000000,3022,Oh de Manicouagan,CS Baie-Comeau,1,rue Leblanc,Chute-aux-Outardes,G0H 1C0,10,2,423.40,846.80,17.90,D,1990-01-01,2025-01-01,MULTIFAMILIAL,138003
86520,96020495118428500000000,3023,Oh de Manicouagan,CS Baie-Comeau,1605,boulevard Blanche,Baie-Comeau,G5C 3A8,10,2,415.68,831.36,21.00,D,1990-02-01,2025-02-01,MULTIFAMILIAL,135483
57886,96020485006809000000000,2899,Oh de Manicouagan,CS Baie-Comeau,976,rue Delanoe,Baie-Comeau,G5C 2T5,6,3,171.50,514.50,21.90,D,1988-05-01,2023-05-01,MULTIFAMILIAL,128424
1676,96020475095188800000000,1158,Oh de Manicouagan,CS Baie-Comeau,900,rue Pouliot,Baie-Comeau,G5C 2T4,2,2,109.78,333.70,23.40,D,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51402
1680,96020475095188800000000,1158,Oh de Manicouagan,CS Baie-Comeau,916,rue Pouliot,Baie-Comeau,G5C 2T4,2,2,109.78,333.70,17.60,D,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51365
1746,96020495117551300000000,1309,Oh de Manicouagan,CS Baie-Comeau,1539,boulevard Blanche,Baie-Comeau,G5C 3A8,20,2,723.29,2169.87,15.20,D,1976-10-01,2026-10-01,MULTIFAMILIAL,52286
1772,96020495117551300000000,1309,Oh de Manicouagan,CS Baie-Comeau,1503,boulevard Blanche,Baie-Comeau,G5C 3A8,20,2,723.29,2169.87,16.10,D,1976-10-01,2026-10-01,MULTIFAMILIAL,52290
6753,96035394392317300000000,2900,Oh de Manicouagan,CS Baie-Comeau,4,rue Jean,Chute-aux-Outardes,G0H 1C0,6,3,171.50,514.50,12.70,C,1992-09-01,2027-09-01,MULTIFAMILIAL,157183
1713,96020485005661900000000,1309,Oh de Manicouagan,CS Baie-Comeau,819,boulevard Rene-Belanger,Baie-Comeau,G5C 2N8,6,3,195.71,782.84,11.60,C,1976-10-01,2026-10-01,MULTIFAMILIAL,51483
1610,96020475094646900000000,1158,Oh de Manicouagan,CS Baie-Comeau,1929,rue de la Verendrye,Baie-Comeau,G5C 2T7,2,2,135.21,344.50,12.30,C,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51273
