address,duplicate_address,code geographique,territory,cubf,serial_number,lin_dim,area,max_num_floor,construction year,year_real_esti,floor_area,code_phys_conn,type_const,num_dwell,num_rental,num_non_res,value_prop,code_arrondissement,nom_arrondissement
881 rue PIERRE DE LESTAGE,9999,52035,Berthierville,6813,2804 38 7058,9999,198322.4,3,1968,R,18066,1,9999,9999,9999,1,19762600,9999,9999
770 rue SAINT-VIATEUR,9999,52035,Berthierville,6812,2904 48 8728,149.44,26845.6,9999,9999,9999,9999,9999,9999,9999,9999,1,4346400,9999,9999
1303 rue Principale,9999,85015,Saint-Édouard-de-Fabre,6812,1428 74 3265,30.54,5888.7,1,1958,R,1,1,1,9999,9999,1,474400,9999,9999
451 rue DESRANLEAU,9999,42055,Valcourt,6813,9740 13 9915,106.48,5664.7,1,1954,R,303,1,9999,9999,9999,1,434700,9999,9999
900 rue MONTCALM,9999,42055,Valcourt,6813,9740 22 1438,80.05,8786.2,2,1948,R,3576.9,9999,9999,9999,9999,1,3817800,9999,9999
1100 rue CHAMPETRE,9999,42055,Valcourt,6812,9839 29 6473,159.38,25598.3,2,1982,R,4477.2,1,9999,9999,9999,1,3699900,9999,9999
302 rue SAINT-CYRILLE,9999,27060,Tring-Jonction,6812,6625 54 6447,43.63,9830.3,2,1963,R,1644,1,1,9999,9999,1,1065800,9999,9999
687 rue GAUDREAULT,9999,93080,Saint-Ludger-de-Milot,6812,0718 93 5944,45.5,3467.1,2,1948,R,663.7,1,9999,9999,9999,1,943800,9999,9999
rue GENDRON,9999,7030,Saint-Léon-le-Grand,6812,0460 63 1331,204.55,10265.4,2,1946,R,1359.7,1,9999,9999,9999,4,1309400,9999,9999
95 rue NOTRE-DAME N,9999,67050,Châteauguay,6812,8426 40 1145,75.51,8432.5,2,1958,R,3657.1,1,9999,9999,9999,1,4761100,9999,9999
270 boulevard D'YOUVILLE,9999,67050,Châteauguay,6813,8426 90 7360,130.7,21473.4,2,1994,R,9999,9999,9999,9999,9999,1,10856200,9999,9999
66 68 rue PRINCIPALE,9999,67050,Châteauguay,6813,8524 15 8204,152.01,10237.7,1,1952,R,9999,9999,9999,9999,9999,1,4151200,9999,9999
71 rue ALPHONSE-DESJARDINS,9999,67050,Châteauguay,6812,8524 23 0808,68.98,14741.8,3,1959,R,9999,9999,9999,9999,9999,1,3336100,9999,9999
85 rue JEFFRIES,9999,67050,Châteauguay,6812,8525 85 5279,115.25,20480.8,1,1967,R,3445,1,9999,9999,9999,1,5315500,9999,9999
180 184 boulevard SALABERRY N,9999,67050,Châteauguay,6812,8526 24 7254,131.48,15076.8,2,1959,R,9999,9999,9999,9999,9999,1,6328700,9999,9999
25 rue d' ABBOTSFORD,9999,67050,Châteauguay,6812,8526 35 7019,89.99,5287.2,2,1923,R,1975.5,1,9999,9999,9999,1,2324300,9999,9999
161 rue de CHAMPLAIN,9999,67050,Châteauguay,6812,8623 30 5121,213.36,29248.2,1,1968,R,6011,1,9999,9999,9999,1,16459800,9999,9999
121 rue PRINCE,9999,67050,Châteauguay,6812,8623 59 9794,144.56,12247.6,2,2014,R,4183.6,1,9999,9999,9999,1,12207700,9999,9999
42 rue SAINT-HUBERT,9999,67050,Châteauguay,6812,8623 68 1575,137.54,27198.1,1,1962,R,2260.8,1,9999,9999,9999,1,4702500,9999,9999
85 rue PRINCE,9999,67050,Châteauguay,6812,8623 79 1588,132.48,14937.2,2,1969,R,3317.4,1,9999,9999,9999,1,3649100,9999,9999
275 rue de BONAVENTURE,9999,67050,Châteauguay,6813,8625 98 9759,213.36,15955.9,1,1967,R,3682.9,1,9999,9999,9999,1,6700400,9999,9999
300 rue MCLEOD,9999,67050,Châteauguay,6812,8724 28 4400,180.56,28735.2,2,1954,R,3850.7,1,9999,9999,9999,1,6602500,9999,9999
315 rue RIDEAU,9999,67050,Châteauguay,6812,8725 38 1119,191.92,28666.1,1,1966,R,3188.9,1,9999,9999,9999,1,5812200,9999,9999
280 avenue BRAHMS,9999,67050,Châteauguay,6812,8823 21 7102,167.1,25793,1,1997,R,2443.9,1,9999,9999,9999,1,8065300,9999,9999
14 rue RAINVILLE,9999,67050,Châteauguay,6812,8824 00 3458,140.82,6009,2,1959,R,2194.5,1,9999,9999,9999,1,2624100,9999,9999
114 1RE AVENUE,,22035,Stoneham-et-Tewkesbury,6812,3807 90 7718,199.32,30521.8,2,9999,9999,9999,9999,9999,9999,9999,9999,10493400,9999,9999
156 rue Monseigneur-Ross,9999,8015,Grosses-Roches,6812,2822 82 9377,62.18,5175.7,2,1958,R,9999,9999,9999,9999,9999,1,479800,9999,9999
200 rue BEDARD,9999,28045,Sainte-Justine,6812,1641 33 3503 07 31,45.71,6756.9,3,1959,E,1479.6,1,9999,9999,9999,9999,884300,9999,9999
26 rue PLOURDE,9999,93012,Métabetchouan—Lac-à-la-Croix,6812,0366 53 2326,59.98,21993.1,1,1969,R,2555.1,1,9999,9999,9999,1,3935700,9999,9999
1569 route 169,9999,93012,Métabetchouan—Lac-à-la-Croix,6813,0567 55 4402,844.56,271207.3,2,9999,9999,9999,9999,9999,9999,9999,1,8692300,9999,9999
350 rue ST-JEAN,9999,93012,Métabetchouan—Lac-à-la-Croix,6812,0964 73 5765,90.83,16817.4,2,9999,9999,9999,9999,9999,9999,9999,1,1921600,9999,9999
207 rue PRINCIPALE,9999,12005,Saint-Cyprien,6812,1507 70 3958,15.24,9847.2,2,9999,9999,316,9999,9999,9999,9999,1,1410500,9999,9999
535 route 132,9999,3010,Cloridorme,6812,8049 01 6501,88.17,7135.9,2,9999,9999,9999,9999,9999,9999,9999,1,1429000,9999,9999
670 9E AVENUE,9999,27028,Beauceville,6813,8418 32 6357 1001,20.12,61576.5,4,1924,R,536.3,1,9999,1,9999,1,3298500,9999,9999
99 125E RUE,,27028,Beauceville,6812,8318 99 1447,195.9,61222.4,3,1962,R,536.3,1,9999,9999,9999,2,6683900,9999,9999
670 9E AVENUE,9999,27028,Beauceville,6813,8418 32 6357 1002,20.12,61576.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,745600,9999,9999
427 429 11E RUE OUEST,9999,29030,La Guadeloupe,6812,7091 65 2000,414.35,17180,2,1955,R,9999,1,9999,9999,9999,1,1827300,9999,9999
376 chemin KNOWLTON,9999,46075,Lac-Brome,6812,8109 91 2581,54.72,13421.8,2,9999,9999,9999,9999,9999,9999,9999,1,1315900,9999,9999
81 rue VICTORIA,9999,46075,Lac-Brome,6812,8209 04 5105,73.42,30819.9,2,1945,R,3879.3,1,9999,9999,9999,1,4200800,9999,9999
136 rue de la GROTTE,9999,10043,Rimouski,6812,1559 37 5968,22.16,13797,2,9999,9999,9999,9999,9999,9999,9999,1,3303400,9999,9999
845 rue SAINT-ARSÈNE,9999,10043,Rimouski,6812,2465 28 4165,109.59,15897.9,2,1965,R,2937.7,1,9999,9999,9999,1,3125200,9999,9999
149 rue du ROCHER-BLANC,9999,10043,Rimouski,6812,2466 00 2438,51.2,4121,2,1958,R,664.8,1,9999,9999,9999,1,618900,9999,9999
514 rue TESSIER,9999,10043,Rimouski,6812,2766 53 0075,32.66,7118.6,2,9999,9999,9999,9999,9999,9999,9999,1,1812700,9999,9999
261 rue PARENT NORD,9999,10043,Rimouski,6812,2766 54 5546,67.42,4396,2,9999,9999,9999,9999,9999,9999,9999,1,1767300,9999,9999
399 rue LA SALLE,9999,10043,Rimouski,6812,2767 26 7790,89.59,7714.3,2,1947,R,2659.3,1,9999,9999,9999,1,3284400,9999,9999
247 rue SAINT-LAURENT OUEST,9999,10043,Rimouski,6812,2867 53 8755,86.53,9046.9,2,1951,R,3552.5,1,9999,9999,9999,1,4736000,9999,9999
99 111 rue SAINT-JEAN-BAPTISTE OUEST,9999,10043,Rimouski,6813,2867 89 7125,86.11,9417.1,3,1957,R,5693.8,1,9999,9999,9999,1,4396500,9999,9999
245 rue 2E OUEST,9999,10043,Rimouski,6813,2867 91 3655,95.92,15788.3,2,9999,9999,9999,9999,9999,9999,9999,1,4662500,9999,9999
250 boulevard ARTHUR-BUIES OUEST,9999,10043,Rimouski,6813,2966 37 3488,309.85,63585.5,3,9999,9999,9999,9999,9999,9999,9999,3,35703700,9999,9999
10 rue 8E OUEST,9999,10043,Rimouski,6812,2967 75 2567,127.79,15830.7,2,9999,9999,9999,9999,9999,9999,9999,1,5221100,9999,9999
128 130 rue CÔTÉ,9999,10043,Rimouski,6812,2969 74 0498,117.35,15843.7,2,9999,9999,9999,9999,9999,9999,9999,1,3950700,9999,9999
521 rue SAINT-GERMAIN,9999,10043,Rimouski,6813,2971 90 3688,37.43,9134.1,2,1952,R,1015.2,1,9999,9999,9999,1,1523300,9999,9999
8 avenue BEAULIEU,9999,10043,Rimouski,6813,3071 01 5263,15.25,4934,1,1960,R,524.3,1,9999,9999,9999,1,918600,9999,9999
658 route des PIONNIERS,9999,10043,Rimouski,6812,3358 64 2486,72.56,9106.6,2,1989,R,3031.2,1,9999,9999,9999,1,2727100,9999,9999
355 avenue de la JEUNESSE,9999,10043,Rimouski,6812,3374 87 4972,130.93,29754.7,1,9999,9999,9999,9999,9999,9999,9999,1,3911000,9999,9999
800 rue DE SÈVE,9999,73010,Sainte-Thérèse,6812,7657 30 7494,142.36,17441.7,2,1974,R,9999,9999,9999,9999,9999,1,5177700,9999,9999
70 rue SAINT-STANISLAS,9999,73010,Sainte-Thérèse,6812,7755 49 5444,99.22,8494.8,2,1963,R,2140.7,1,9999,9999,9999,9999,2540500,9999,9999
60 rue SAINT-STANISLAS,9999,73010,Sainte-Thérèse,6812,7755 59 1873,57.04,9193,2,9999,9999,9999,9999,9999,9999,9999,1,2495100,9999,9999
46 rue BLAINVILLE OUEST,9999,73010,Sainte-Thérèse,6812,7755 96 3108,43.2,2221,2,1960,R,1233.4,1,9999,9999,9999,1,1774700,9999,9999
50 rue LEROUX,,73010,Sainte-Thérèse,6812,7854 67 2474,195.5,17542.7,2,1961,R,9999,9999,9999,9999,9999,2,4930300,9999,9999
8 rue BLAINVILLE EST,9999,73010,Sainte-Thérèse,6813,7855 25 8092,58.53,3495.5,3,1925,R,2964.3,1,9999,9999,9999,9999,2611500,9999,9999
6 8 rue TASSÉ,9999,73010,Sainte-Thérèse,6813,7855 37 8310,239.88,34920.5,2,9999,9999,9999,9999,9999,9999,9999,1,11022100,9999,9999
25 rue VÉZINA,9999,73010,Sainte-Thérèse,6812,7855 76 9646,107.54,8234.9,2,9999,9999,9999,9999,9999,9999,9999,1,3372500,9999,9999
201 rue SAINT-PIERRE,9999,73010,Sainte-Thérèse,6812,7955 48 2305,148.64,10193.2,2,1959,R,4091.7,1,9999,9999,9999,1,3705700,9999,9999
425 rue BLAINVILLE EST,9999,73010,Sainte-Thérèse,6813,8055 16 4538,177.65,51390.5,3,1959,R,9999,9999,9999,9999,9999,1,24116400,9999,9999
boulevard RENÉ-A.-ROBERT,9999,73010,Sainte-Thérèse,6813,8055 26 4588,30.48,1026.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,186600,9999,9999
890 rue SAINT-PIERRE,9999,53040,Saint-Roch-de-Richelieu,6812,3183 45 0296,52.36,6136,2,9999,9999,9999,9999,9999,9999,9999,1,4442900,9999,9999
225 rue Saint-Jean-Baptiste,9999,50072,Nicolet,6813,7221 64 4491,79.59,53952.1,5,9999,9999,9999,9999,9999,1,9999,1,18755700,9999,9999
217 219 rue Principale,9999,26015,Vallée-Jonction,6812,7137 97 5530,129.31,9978.3,2,1956,R,1567.2,1,9999,9999,9999,1,1355400,9999,9999
222 rue PRINCIPALE,9999,70022,Beauharnois,6812,7119 07 1320,124.37,15139.5,2,9999,9999,3151.6,1,9999,9999,9999,9999,2720200,9999,9999
23 rue SAINT-ANDRÉ,9999,70022,Beauharnois,6813,7518 11 1380,141.9,9384.3,1,1962,R,1925.6,1,9999,9999,9999,1,2195300,9999,9999
205 rue EDMOUR-DAOUST,9999,70022,Beauharnois,6812,7518 96 6413,160.32,24995.5,9999,9999,9999,3241.3,1,9999,9999,9999,1,4124200,9999,9999
25 rue SAINT-JOSEPH,9999,70022,Beauharnois,6812,7519 21 4560,113.29,9711.3,2,1953,R,2850.3,1,9999,9999,9999,1,3946900,9999,9999
480 rue de l' ÉGLISE,9999,70022,Beauharnois,6812,7719 99 9773,98.76,10338.7,1,1952,R,980,1,9999,9999,9999,1,1933700,9999,9999
25 rue COULONGE,9999,84060,Fort-Coulonge,6812,8678 13 1036,16.15,36029.7,2,1957,R,9999,9999,9999,9999,9999,1,2562500,9999,9999
33 rue ROMAIN,9999,84060,Fort-Coulonge,6812,8678 21 1993,49.38,2498.3,2,1923,R,825,1,9999,9999,9999,1,342100,9999,9999
687 rue DUMAS,9999,30080,Lac-Drolet,6812,7764 52 3125,26.43,3708.2,2,1959,R,1533.8,1,9999,9999,9999,1,993400,9999,9999
5 rue MARION-ATWELL,9999,45030,Potton,6812,9190 97 6340,18.75,12650,2,9999,9999,9999,9999,9999,2,9999,1,1328700,9999,9999
330 332 rue PRINCIPALE,9999,45030,Potton,6812,9291 00 5275,113.36,9111.6,2,1960,R,1611.7,1,9999,9999,9999,1,783900,9999,9999
1250 rue BEAUPRÉ,9999,13095,Pohénégamook,6812,0158 08 1576,88.69,8571.8,1,1965,R,1576.7,1,9999,9999,9999,1,1210400,9999,9999
460 rue SAINT-DAVID,9999,13095,Pohénégamook,6812,0658 54 4002,100.34,10794.9,2,1966,R,1150,1,9999,9999,9999,1,777300,9999,9999
479 rue SAINT-VALLIER,9999,13095,Pohénégamook,6812,9661 66 6572,68.7,5865.2,2,1954,R,1385,1,9999,9999,9999,1,1355700,9999,9999
161 rue Sainte-Geneviève,9999,26063,Saint-Isidore,6812,5960 45 9779,9999,3056.4,1,1999,R,497.1,1,9999,9999,9999,1,881900,9999,9999
